id,genre
2666,Mystery
2666,Science Fiction
11003,Romance
11003,Comedy
109176,Family
9445,Drama
9445,Thriller
22797,Comedy
22797,Drama
28047,Drama
28047,Thriller
28047,Crime
28047,Romance
13761,Family
13761,Adventure
13761,Animation
13761,Romance
26269,Crime
26269,Thriller
1965,Crime
1965,Thriller
1965,Drama
9487,Family
9487,Animation
9487,Adventure
9487,Comedy
32195,TV Movie
32195,Adventure
32195,Comedy
32195,Romance
9732,Family
9732,Adventure
9732,Animation
9732,Action
9452,Comedy
9452,Drama
9452,Crime
9452,Thriller
9452,Romance
44808,Action
11808,Thriller
11808,Crime
11808,Action
37165,Comedy
37165,Drama
45242,Family
45242,Comedy
163742,Drama
9490,Comedy
9490,Crime
9447,Family
9447,Adventure
9447,Comedy
9447,Drama
31662,Drama
31662,Crime
31662,Mystery
67395,Action
67395,Thriller
825,Comedy
825,Drama
825,Romance
30949,Crime
30949,Drama
30949,Mystery
30949,Romance
30949,Thriller
36647,Horror
36647,Action
9457,Adventure
9457,Action
9457,Horror
9457,Science Fiction
944,Action
944,Adventure
944,Comedy
944,Crime
944,Thriller
20756,Animation
20756,Family
3033,Drama
617,Mystery
617,Thriller
617,Drama
109601,Adventure
109601,Comedy
109601,Family
81367,Family
81367,Adventure
81367,Comedy
31473,Family
31473,Animation
31473,Adventure
84586,Comedy
84586,Drama
84586,Romance
10683,Comedy
10683,Drama
9454,Drama
9454,Romance
9454,Comedy
10278,Drama
10278,Thriller
10278,Romance
4415,Crime
4415,Drama
4415,History
4415,Romance
16146,Horror
16146,Science Fiction
9441,Drama
9441,Romance
9441,Comedy
9469,Drama
33271,TV Movie
33271,Family
33271,Fantasy
73,Drama
115,Comedy
115,Crime
37272,Drama
37272,Romance
73961,Family
73961,Comedy
73961,Fantasy
11855,Comedy
11855,Drama
36568,Comedy
36568,Family
10223,Crime
10223,Drama
10223,Thriller
9631,Action
9631,Crime
9631,Drama
9631,Thriller
17941,Drama
17941,Thriller
100,Comedy
100,Crime
9745,Comedy
9745,Family
9745,Drama
9745,Fantasy
857,Drama
857,History
857,War
9425,Science Fiction
9425,Action
9425,Drama
9425,Fantasy
6058,Action
6058,Thriller
27472,Adventure
27472,Comedy
10220,Drama
10220,Crime
9342,Action
9342,Adventure
9424,Mystery
9424,Horror
9424,Science Fiction
473,Mystery
473,Drama
473,Thriller
846,Mystery
846,Science Fiction
846,Thriller
11258,Thriller
11258,Crime
11258,Action
38621,Romance
38621,Drama
11675,Horror
11675,Thriller
27847,Action
27847,Science Fiction
14533,Romance
14533,Drama
37498,Action
37498,Crime
37498,Thriller
8688,Thriller
8688,Crime
8688,Mystery
8688,Drama
10153,Science Fiction
10153,Mystery
10153,Thriller
10153,Horror
3050,Comedy
3050,Family
3050,Fantasy
11932,Comedy
11932,Horror
11932,Romance
9033,Horror
9033,Fantasy
9033,Thriller
8675,Comedy
22256,Drama
22256,Romance
13935,Drama
13935,War
13935,TV Movie
3682,Drama
3682,Music
27850,Adventure
27850,Comedy
27850,Family
27850,Fantasy
27850,TV Movie
4927,Comedy
4927,Drama
4927,Romance
14444,Family
14444,Animation
14444,Comedy
14444,Adventure
24746,Action
24746,Adventure
24746,Science Fiction
24746,Music
24746,Comedy
11702,Action
11702,Crime
11702,Thriller
9771,Comedy
10029,Comedy
10029,Crime
10029,Thriller
8916,Family
8916,Animation
8916,Adventure
8916,Comedy
10940,Action
10940,Science Fiction
10940,Adventure
929,Science Fiction
929,Action
929,Thriller
9837,Adventure
9837,Animation
9837,Drama
9837,Family
15805,Animation
15805,Action
15805,Crime
12159,Drama
12159,Fantasy
12159,Romance
3513,Action
3513,War
3513,Adventure
3513,History
14662,Comedy
14662,Drama
1448,Fantasy
1448,Horror
4518,Drama
4518,History
10162,Comedy
9410,Comedy
9410,Drama
9410,Romance
