id,genre
13600,Adventure
13600,Family
13600,Fantasy
8940,Documentary
8940,Drama
10527,Family
10527,Adventure
10527,Animation
10527,Comedy
455575,Action
455575,Animation
4148,Drama
4148,Romance
12133,Comedy
4564,Comedy
4564,Drama
4564,Romance
12245,Crime
12245,Mystery
12245,Thriller
217,Adventure
217,Action
13944,Drama
13944,Mystery
13944,Thriller
13944,Romance
13004,Animation
13004,Family
13825,Drama
13825,Thriller
13160,Comedy
13809,Action
13809,Crime
13809,Thriller
13389,Action
13389,Crime
13389,Drama
13389,Thriller
7446,Action
7446,Comedy
7446,Adventure
7446,War
15854,Animation
15854,Family
15854,Action
8204,Family
8204,Adventure
8204,Fantasy
8204,Drama
13001,Action
13001,Adventure
13001,Science Fiction
13001,TV Movie
88751,Action
88751,Science Fiction
88751,Adventure
88751,Comedy
88751,Family
16409,Drama
16409,Romance
10681,Animation
10681,Family
10681,Science Fiction
12914,Action
12914,Adventure
12914,Science Fiction
12914,TV Movie
10483,Action
10483,Thriller
10483,Science Fiction
13413,Animation
13413,Family
13413,Comedy
13413,Science Fiction
19116,Horror
13942,Crime
13942,Mystery
13942,Thriller
9870,Comedy
9870,Romance
9870,Drama
13200,Drama
13200,Thriller
4944,Comedy
4944,Drama
12903,Adventure
12903,Animation
12903,Comedy
12903,Family
12903,Fantasy
12903,Music
8617,Horror
8617,Drama
8617,Mystery
14326,Drama
14326,Romance
8880,Drama
8880,History
8880,War
15616,Comedy
12192,Crime
12192,Horror
12192,Thriller
7191,Action
7191,Thriller
7191,Science Fiction
15373,Comedy
12193,Comedy
12193,Romance
12193,Drama
1735,Adventure
1735,Action
1735,Fantasy
12178,Drama
12178,Comedy
12178,Romance
4922,Drama
4922,Fantasy
4922,Romance
13460,Action
13460,Thriller
13460,Science Fiction
63193,Drama
63193,TV Movie
13851,Science Fiction
13851,Animation
13851,Action
13851,Crime
13851,Thriller
12783,Drama
12783,History
12783,Romance
12797,Drama
12797,Comedy
12797,Fantasy
