id,genre
10447,Action
10447,Drama
10447,Science Fiction
10447,Thriller
1637,Action
1637,Adventure
1637,Crime
4954,Action
4954,Thriller
10731,Drama
10731,Thriller
10731,Crime
10731,Mystery
2712,Adventure
2712,Drama
2712,TV Movie
39349,Drama
39349,Action
39349,Thriller
39349,Crime
20156,Drama
20156,Mystery
3586,Comedy
10450,Thriller
10450,Comedy
26337,Mystery
26337,Thriller
41582,Comedy
41582,Family
34444,Comedy
34444,Drama
34444,Romance
34444,Western
10531,Drama
10531,Thriller
15139,Family
15139,Fantasy
15139,Animation
3036,Drama
3036,Horror
3036,Science Fiction
3036,Romance
870544,Documentary
870544,TV Movie
11777,Comedy
11777,Drama
11777,Romance
11011,Comedy
11011,Family
18009,Comedy
18009,Horror
18009,Fantasy
14425,Comedy
9331,Action
9331,Drama
9331,Thriller
31504,Comedy
31504,Family
22586,Family
22586,Animation
22586,Fantasy
22586,Adventure
22586,Comedy
11164,Comedy
11164,Action
11164,Family
11164,Drama
9495,Fantasy
9495,Action
9495,Thriller
18395,Comedy
18395,Crime
18395,Thriller
37404,Adventure
37404,Fantasy
37404,TV Movie
37404,Action
15128,Romance
15128,Comedy
8984,Thriller
8984,Drama
8984,Crime
19855,Drama
19855,War
11212,Comedy
11212,Adventure
11212,Family
11212,Crime
11212,Drama
12280,Comedy
12280,Drama
12519,Comedy
12519,Drama
9905,Crime
9905,Thriller
8831,Thriller
8831,Science Fiction
8831,Action
8831,Crime
237353,Documentary
8986,Comedy
8986,Romance
8986,Drama
50463,Comedy
50463,Romance
8987,Adventure
8987,Thriller
8987,Drama
8011,Fantasy
8011,Action
8011,Adventure
10872,Comedy
10872,Crime
10872,Drama
628,Horror
628,Drama
628,Fantasy
35614,Fantasy
35614,Animation
35614,Science Fiction
35614,Family
854,Romance
854,Comedy
854,Crime
854,Fantasy
24795,Comedy
24795,Family
24795,Fantasy
22455,Comedy
22455,Horror
22455,Science Fiction
60666,Drama
60666,TV Movie
10395,Fantasy
10395,Drama
10395,Horror
10395,Romance
101,Crime
101,Drama
101,Action
60896,Drama
60896,Thriller
19819,Drama
20726,Comedy
20726,Family
9624,Action
2759,Drama
2759,Comedy
712,Comedy
712,Drama
712,Romance
21029,Comedy
11667,Action
11667,Adventure
11667,Comedy
11667,Thriller
46717,Drama
46717,Romance
11317,Comedy
11317,Family
2348,Comedy
2348,Crime
29918,Family
29918,Adventure
11934,Comedy
11934,Drama
8467,Comedy
16297,Comedy
16297,Drama
28032,Animation
28032,Family
28032,Fantasy
28032,Romance
28032,Music
13701,Drama
13701,Music
13701,Romance
20678,Adventure
20678,Comedy
20678,Family
12635,Drama
12635,Music
14522,Family
14522,Adventure
14522,Drama
9587,Drama
9587,Romance
19176,Action
19176,Comedy
19176,Crime
19176,Drama
19176,Thriller
19176,Western
14334,Adventure
14334,Fantasy
14334,Family
14334,Drama
2788,Drama
2788,Comedy
2788,Romance
11853,Romance
11853,Western
34152,Comedy
34152,Drama
8850,Fantasy
8850,Action
10635,Comedy
10635,Drama
10635,Romance
17600,Comedy
17600,Drama
12778,Comedy
209633,Western
209633,Action
209633,Crime
209633,TV Movie
19361,Comedy
19361,Drama
19361,Romance
2164,Action
2164,Adventure
2164,Science Fiction
13,Comedy
13,Drama
13,Romance
11067,Comedy
18069,Drama
18069,Romance
18069,Western
6472,Comedy
6472,Drama
44925,Drama
44925,Thriller
43535,Family
43535,Comedy
43535,Drama
26391,Comedy
26391,Fantasy
26391,Adventure
15997,Animation
15997,Adventure
15997,Family
306,Action
306,Comedy
306,Crime
26352,Comedy
26352,Crime
43643,Adventure
43643,Family
36593,Comedy
36593,Crime
25284,Thriller
25284,Crime
25284,Romance
25284,Drama
2778,Comedy
57834,Drama
57834,Romance
22059,Action
22059,Science Fiction
22059,Adventure
38940,Action
48874,Animation
48874,Comedy
48874,Family
48874,TV Movie
3049,Comedy
3049,Mystery
1702,Action
1702,Horror
1702,Science Fiction
1702,Thriller
22067,Crime
22067,Drama
22067,Romance
17585,Action
17585,Thriller
55563,Science Fiction
55563,Horror
55563,Romance
48485,Drama
48485,History
49980,Drama
888,Fantasy
888,Comedy
888,Family
38348,Family
2636,Action
2636,Thriller
14275,Documentary
522,Comedy
522,Drama
522,History
278,Drama
278,Crime
46094,Family
46094,Comedy
6280,Comedy
6280,Science Fiction
1909,Romance
1909,Drama
1909,Comedy
11318,Comedy
11318,Drama
11318,History
90148,Drama
31619,Drama
31619,History
31619,TV Movie
680,Thriller
680,Crime
88103,Romance
88103,Science Fiction
88103,TV Movie
36955,Action
36955,Thriller
50346,Action
50346,Drama
50346,Thriller
50346,Romance
97802,Romance
97802,Drama
97802,Science Fiction
31586,Comedy
31586,Family
31586,Fantasy
52021,Horror
52021,Fantasy
52021,Thriller
29444,Comedy
29444,Drama
30114,Adventure
30114,Comedy
30114,Western
24405,Comedy
24405,Romance
12160,Western
12160,Drama
12160,Action
12160,Adventure
9359,Action
9359,Adventure
9359,Comedy
9359,Drama
9359,Western
24767,Adventure
24767,Family
24767,Action
13351,Family
13351,Fantasy
13351,Animation
13351,TV Movie
13351,Music
13351,Mystery
13351,Adventure
11546,Comedy
11546,Crime
29973,Drama
22588,Comedy
22588,Crime
22588,Drama
8587,Family
8587,Animation
8587,Drama
25557,Horror
25557,Science Fiction
25557,Thriller
13595,Comedy
13595,Crime
13595,Music
11382,Comedy
11382,Crime
10467,Comedy
10467,Romance
10467,Drama
10897,Romance
10897,Comedy
10897,Family
11592,Comedy
11592,Crime
19092,Crime
19092,Drama
236,Comedy
236,Drama
236,Romance
65158,Adventure
65158,History
10510,Fantasy
10510,Drama
10510,Family
12475,Comedy
11395,Fantasy
11395,Drama
11395,Comedy
11395,Family
11593,Drama
11593,Comedy
24070,Comedy
24070,Drama
24070,Romance
24925,Horror
24925,Comedy
10464,Comedy
10464,Drama
10464,Family
10464,Romance
10448,Adventure
47504,Drama
47504,Crime
11795,Science Fiction
11795,Action
37020,Comedy
37020,Romance
37020,TV Movie
10879,Romance
10879,Comedy
50326,Drama
50326,Family
50326,TV Movie
50326,Western
35233,Comedy
2292,Comedy
11596,Horror
11596,Mystery
11596,Fantasy
13815,Crime
13815,Drama
13815,Thriller
178,Action
10449,Drama
10449,Romance
193,Science Fiction
193,Action
193,Adventure
193,Thriller
2124,Romance
2124,Thriller
2124,Mystery
2124,Horror
11231,Action
11231,Drama
11231,Family
11231,Adventure
2087,Action
2087,Crime
2087,Mystery
2087,Thriller
13962,Comedy
13962,Family
75826,Adventure
75826,Fantasy
75826,TV Movie
75826,Action
10714,Family
10714,Adventure
10714,Drama
10660,Comedy
10660,Drama
10660,Romance
23719,Action
23719,Comedy
9058,Romance
9058,Comedy
