id,genre
12536,Comedy
12536,Family
12536,TV Movie
14635,Drama
14635,Family
9280,Mystery
9280,Crime
9280,Thriller
36669,Adventure
36669,Action
36669,Thriller
17710,Animation
17710,Comedy
17710,Family
9685,Comedy
9685,Drama
201,Science Fiction
201,Action
201,Adventure
201,Thriller
2103,Drama
2103,Science Fiction
2103,Mystery
13830,Action
13830,Adventure
13830,Crime
13830,Drama
15070,Drama
15070,Crime
10726,Horror
10726,Thriller
9334,Action
9334,Adventure
9334,Fantasy
9334,Drama
11362,Adventure
11362,Drama
11362,History
565,Horror
565,Mystery
13950,Action
13950,Adventure
13950,Comedy
9645,Horror
9645,Mystery
9645,Thriller
12454,Comedy
12454,Drama
9296,Science Fiction
9296,Comedy
9296,Drama
9296,Fantasy
9296,Romance
21868,Drama
65,Drama
65,Music
170,Horror
170,Thriller
170,Science Fiction
18357,Adventure
18357,Comedy
18357,Family
34469,War
34469,Drama
34469,History
14008,Family
14008,TV Movie
14008,Comedy
4614,Thriller
4614,Action
4614,Drama
11560,Drama
11560,Mystery
11560,Thriller
11560,Crime
11979,Fantasy
11979,Horror
11979,Romance
1430,Documentary
1430,Drama
13163,Comedy
13163,Romance
7451,Action
7451,Adventure
7451,Thriller
7451,Crime
10052,Thriller
10052,Fantasy
10052,Mystery
2501,Action
2501,Drama
2501,Mystery
2501,Thriller
14787,Animation
14787,Comedy
14787,Family
14787,Fantasy
10133,Thriller
10133,Science Fiction
31005,Romance
31005,Drama
2017,Action
2017,Crime
2017,Drama
2017,Mystery
2017,Thriller
16690,Adventure
16690,Fantasy
16690,Animation
16690,Family
13931,Animation
13931,Comedy
13931,Family
13931,Fantasy
10592,Drama
10592,War
1537,Thriller
1537,Action
1537,Drama
8665,Drama
8665,History
8665,Thriller
8665,Mystery
8665,War
672,Adventure
672,Fantasy
9023,Animation
9023,Adventure
9023,Comedy
9023,Family
9023,Drama
9023,Western
9023,Romance
9021,Fantasy
9021,Comedy
9021,Family
14245,Action
9357,Drama
9357,Thriller
10590,Action
10590,History
10590,War
29339,Adventure
29339,Drama
11857,Comedy
11857,Drama
11880,Horror
11880,Action
11880,Thriller
59387,Animation
59387,Action
59387,Family
38157,Horror
38157,Fantasy
8869,Action
8869,Comedy
8869,Horror
8869,Thriller
9544,Horror
9544,Thriller
9544,Crime
8470,Drama
8470,Thriller
8470,Crime
10426,Comedy
2165,Thriller
2165,Action
2165,Drama
27259,Horror
27259,Thriller
12590,Thriller
12590,Horror
12590,Mystery
12779,Comedy
12779,Romance
3131,Drama
3131,History
3131,Crime
11852,Comedy
11852,Fantasy
11891,Comedy
11891,Action
9637,Mystery
9637,Adventure
9637,Comedy
7342,Horror
7342,Drama
7342,TV Movie
17774,Action
17774,Thriller
9555,Adventure
9555,Drama
9555,History
15015,Animation
15015,Family
9557,Comedy
11529,Comedy
11529,Romance
3132,Action
3132,Adventure
3132,Comedy
3132,Thriller
13706,Animation
13706,Family
36586,Fantasy
36586,Horror
36586,Action
36586,Thriller
124108,TV Movie
124108,Comedy
124108,Drama
13908,Comedy
13908,Family
13908,Fantasy
11892,Crime
11892,Drama
11892,Thriller
15028,Adventure
15028,Family
15028,Science Fiction
15028,Thriller
9573,Thriller
9573,Crime
9573,Action
9573,Mystery
13497,Drama
13497,Romance
13497,Comedy
13497,Music
8094,Drama
8094,History
2750,Comedy
2750,Drama
2750,Music
2022,Comedy
2022,Romance
3472,Crime
3472,Drama
3472,Thriller
6278,Adventure
6278,Action
6278,Fantasy
10996,Family
10996,Adventure
10996,Animation
10996,Comedy
121,Adventure
121,Fantasy
121,Action
9016,Adventure
9016,Animation
9016,Family
9016,Fantasy
9016,Science Fiction
14112,Crime
14112,Drama
11056,Horror
25913,Family
25913,Animation
25913,Adventure
4108,Action
4108,Crime
4108,Thriller
10994,Drama
39862,Horror
11888,Comedy
11888,Family
11888,Adventure
11692,Action
11692,Comedy
11692,Science Fiction
16857,Comedy
16857,Drama
10229,Drama
10229,Romance
2752,Comedy
2752,Romance
13536,Crime
13536,Drama
13536,Mystery
10771,Thriller
10771,Action
10771,Comedy
10771,Science Fiction
320,Crime
320,Thriller
32301,Horror
32301,Comedy
29047,Documentary
10605,Horror
10605,Thriller
10605,Action
10611,Comedy
10611,Drama
13683,Animation
13683,Family
30072,Drama
30072,Mystery
30072,Romance
13654,Family
13654,Animation
13654,Adventure
13654,Comedy
26189,Family
26189,Comedy
26189,Mystery
26189,TV Movie
10375,Thriller
10375,Crime
9039,Action
9039,Crime
9039,Thriller
9039,Drama
640,Drama
640,Crime
10167,Crime
10167,Action
10167,Thriller
8051,Romance
8051,Drama
8051,Comedy
10985,Comedy
21972,Family
21972,Comedy
21972,Fantasy
2757,Comedy
2757,Crime
2757,Drama
20648,Comedy
20648,Romance
245,Drama
245,Comedy
245,Romance
11442,Horror
11442,Thriller
4911,Crime
4911,Drama
4911,Thriller
4911,Action
2637,Drama
2637,Horror
2637,Mystery
14128,Family
14128,Animation
14128,Romance
14128,Fantasy
9012,Comedy
9012,Documentary
11246,Horror
11246,Thriller
11246,Mystery
1894,Adventure
1894,Action
1894,Science Fiction
455,Comedy
455,Drama
455,Romance
21597,Comedy
21597,Horror
11468,Crime
11468,Drama
11468,Mystery
11468,Thriller
2755,Drama
2755,Comedy
20312,Adventure
20312,Comedy
20312,Fantasy
11870,Family
11870,Comedy
11870,Adventure
4912,Comedy
4912,Crime
4912,Drama
14317,Animation
14317,Adventure
14317,Family
11535,Action
11535,Science Fiction
11535,Thriller
2185,Action
2185,Comedy
2185,Thriller
2185,Mystery
2135,Science Fiction
2135,Adventure
2135,Action
11022,Crime
11022,Drama
11022,Mystery
180,Science Fiction
180,Action
180,Thriller
13437,Action
13437,Comedy
13437,Crime
590,Drama
1574,Comedy
1574,Crime
1574,Drama
25556,Animation
25556,Adventure
25556,Family
13768,Drama
13768,Family
13768,Fantasy
13768,Romance
7299,Action
7299,Science Fiction
7299,Thriller
14365,Thriller
9707,Comedy
9707,Horror
9707,Thriller
9707,Mystery
9707,Fantasy
1429,Crime
1429,Drama
4547,Crime
4547,Drama
4547,Thriller
37964,Romance
37964,Comedy
8427,Action
8427,Adventure
8427,Comedy
8427,Thriller
16028,Horror
16028,Thriller
9275,Comedy
9275,Crime
9275,Drama
9275,Thriller
12448,Animation
12448,Family
12448,Comedy
39141,Comedy
39141,Drama
39141,Romance
1576,Horror
1576,Action
1576,Science Fiction
425,Animation
425,Comedy
425,Family
425,Adventure
11544,Animation
11544,Family
1360,Drama
1360,Romance
12277,Action
12277,Comedy
26449,Comedy
39227,Adventure
39227,Family
39227,Romance
2251,Thriller
2251,Drama
1957,Drama
1957,Thriller
20616,Thriller
20616,Mystery
9884,Action
9884,Thriller
9884,Drama
9488,Action
9488,Adventure
9488,Family
9488,Comedy
9488,Science Fiction
9488,Drama
12100,War
12100,Drama
12100,Action
12100,History
4147,Crime
4147,Drama
4147,Thriller
15647,Comedy
17130,Drama
17130,Romance
17130,Comedy
9932,Comedy
9932,Crime
18015,Horror
18015,Thriller
18015,Action
18015,Adventure
2642,Comedy
2642,Romance
608,Action
608,Comedy
608,Science Fiction
9298,Comedy
6020,Comedy
11812,Romance
11812,Comedy
9689,Comedy
9689,Drama
557,Action
557,Science Fiction
7303,Comedy
7303,Drama
7303,Romance
437,Thriller
437,Science Fiction
437,Mystery
423,Drama
423,War
1809,Drama
1809,Romance
1809,Comedy
5851,Action
5851,Comedy
8346,Comedy
8346,Drama
8346,Romance
