id,genre
63,Science Fiction
63,Thriller
63,Mystery
11017,Comedy
48374,Horror
48374,TV Movie
25749,Horror
25749,Thriller
10533,Drama
10533,Romance
10533,Western
29371,Comedy
29371,Drama
29371,Romance
36278,Action
36278,Adventure
36278,Comedy
36278,Family
36278,Thriller
9691,Action
9691,Adventure
9691,Crime
9691,Thriller
6950,Action
6950,Drama
6950,Science Fiction
6950,Thriller
40661,Action
40661,Drama
40661,Thriller
18998,Action
18998,Adventure
18998,Science Fiction
18998,Thriller
18998,Horror
18998,Fantasy
8438,Crime
8438,Drama
47278,Drama
47278,Comedy
1408,Action
1408,Adventure
11980,Horror
11980,Fantasy
11980,Thriller
10530,Adventure
10530,Animation
10530,Family
10530,Romance
10525,Comedy
10525,Drama
10525,Romance
8771,Horror
8771,Science Fiction
8771,Thriller
12520,Comedy
12520,Thriller
12520,Crime
12520,Drama
239033,Adventure
239033,Family
239033,Fantasy
239033,TV Movie
9090,Comedy
9090,Drama
19101,Drama
19101,Family
19101,Fantasy
414,Action
414,Crime
414,Fantasy
400,Drama
400,Crime
10858,Drama
10858,History
16420,Drama
46029,Comedy
46029,Romance
18801,Mystery
18801,Horror
33689,Comedy
33689,Family
33689,Romance
8012,Comedy
8012,Thriller
8012,Crime
27993,Comedy
26441,Family
26441,Comedy
9091,Action
9091,Drama
45325,Family
45325,Action
45325,Adventure
45325,Drama
68274,Comedy
68274,Drama
68274,Romance
262795,Thriller
629,Drama
629,Crime
629,Thriller
9087,Comedy
9087,Drama
9087,Romance
577,Drama
577,Comedy
577,Crime
2064,Romance
2064,Comedy
9482,Science Fiction
12122,Thriller
12122,Horror
12122,Science Fiction
31894,War
31894,History
31894,Drama
31894,TV Movie
38867,Drama
38867,Romance
9737,Action
9737,Comedy
9737,Crime
9737,Thriller
15789,Romance
15789,Animation
15789,Family
15789,Comedy
15789,Adventure
6715,Drama
6715,Family
19004,Animation
19004,Adventure
19004,Family
17015,Drama
17015,Romance
15602,Romance
15602,Comedy
8512,Thriller
8512,Crime
8512,Mystery
27303,Drama
27303,Thriller
27303,Horror
36555,Action
9382,Comedy
9382,Drama
44470,Comedy
44470,Horror
16295,Drama
16295,Crime
12554,Crime
12554,Drama
10802,Drama
40628,Drama
40628,Family
710,Adventure
710,Action
710,Thriller
922,Drama
922,Fantasy
922,Western
54648,Animation
54648,Adventure
54648,Family
6071,Crime
6071,Thriller
6071,Drama
47608,Drama
47608,Romance
28387,Comedy
28387,Drama
28387,Romance
1642,Crime
1642,Drama
1642,Mystery
1642,Thriller
1642,Action
2405,Adventure
2405,Drama
2405,TV Movie
10634,Comedy
139826,Western
9804,Adventure
9804,Action
9804,Science Fiction
39310,Crime
39310,Drama
26422,Drama
26422,Romance
8844,Adventure
8844,Fantasy
8844,Family
31174,Drama
31174,War
36141,Crime
36141,Drama
36141,Thriller
72886,Action
72886,Animation
9344,Drama
9344,Crime
11448,Comedy
11448,Romance
121138,Action
121138,Drama
121138,Thriller
688,Drama
688,Romance
116743,Animation
116743,Drama
116743,Family
116743,Fantasy
116743,Music
116743,Romance
3512,Action
3512,Thriller
27281,Action
27281,Adventure
27281,Comedy
27281,Family
10149,Comedy
10149,Drama
34996,Drama
34996,Horror
30528,Comedy
30528,Romance
9598,Fantasy
9598,Drama
9598,Comedy
9598,Family
12158,Comedy
12158,Horror
12158,Romance
281,Crime
281,Drama
281,Science Fiction
281,Thriller
524,Crime
524,Drama
524,History
11860,Comedy
11860,Romance
11861,Drama
11861,Romance
95963,Drama
95963,War
9348,Science Fiction
9348,Horror
9348,Action
451,Drama
451,Romance
10612,Drama
10612,Comedy
10612,Romance
11929,Crime
11929,Drama
11929,Mystery
21183,Drama
21183,Adventure
21183,Family
862,Animation
862,Adventure
862,Family
862,Comedy
35645,Drama
35645,Adventure
35645,Family
35645,Mystery
11862,Comedy
11862,Family
44136,Action
44136,Adventure
44136,TV Movie
44136,War
6520,Action
6520,Adventure
6520,Drama
6520,Romance
532,Family
532,Animation
532,Comedy
32513,Comedy
32513,Romance
222848,Science Fiction
28601,Comedy
28601,Family
28601,TV Movie
84060,Horror
84060,Adventure
84060,Comedy
84060,Thriller
84060,Action
11443,Action
11443,Crime
40156,Drama
40156,Romance
48287,Comedy
48287,Drama
48287,Family
20649,Mystery
20649,Crime
20649,Drama
9603,Comedy
9603,Romance
9603,Drama
21032,Family
21032,Animation
21032,Adventure
9560,Drama
9560,Romance
10428,Action
10428,Crime
10428,Thriller
10428,Drama
31357,Comedy
31357,Drama
31357,Romance
1710,Thriller
1710,Crime
1710,Mystery
11859,Action
35044,Drama
35044,TV Movie
10987,Horror
10987,Thriller
10824,Horror
10824,Thriller
9909,Drama
18402,Comedy
18402,Drama
150354,Documentary
40480,Action
40480,Crime
40480,Romance
40480,Thriller
48787,Thriller
48787,Horror
19286,Comedy
19286,Horror
