id,genre
88,Drama
88,Music
88,Romance
25832,Music
11215,Drama
11215,Comedy
11215,Romance
70199,Thriller
70199,Horror
48406,Drama
48406,Romance
48406,TV Movie
27764,Horror
27764,Comedy
957,Comedy
957,Science Fiction
765,Horror
765,Comedy
765,Fantasy
26719,Crime
26719,Thriller
19933,Animation
19933,Adventure
19933,Family
19933,Fantasy
10081,Action
10081,Adventure
10081,Crime
10081,Drama
2115,Music
2115,Drama
10652,War
10652,Action
10652,Drama
10083,Thriller
49684,Horror
82085,Science Fiction
82085,Action
82085,TV Movie
941,Adventure
941,Action
941,Comedy
941,Thriller
941,Crime
15677,Drama
15677,Romance
4639,Action
4639,Crime
4639,Drama
4639,Thriller
36914,Comedy
36914,Fantasy
1547,Horror
1547,Comedy
1547,Thriller
5709,Comedy
5709,Science Fiction
26939,Action
26939,Drama
26939,Western
26939,TV Movie
4365,Comedy
4365,Horror
4365,Science Fiction
33851,Crime
33851,Drama
33851,Action
33851,Thriller
21299,Action
21299,Adventure
21299,Family
10859,Action
10859,Comedy
10859,Romance
11548,Family
11548,Comedy
11548,Fantasy
11548,Science Fiction
32595,Horror
17258,Romance
17258,Comedy
17258,Crime
16620,Drama
16620,Music
600,Drama
600,War
20242,Comedy
297008,Science Fiction
297008,Comedy
297008,TV Movie
42014,Drama
42014,Mystery
42014,Thriller
12623,Crime
12623,Drama
12623,Thriller
11896,Comedy
11896,Crime
13703,Drama
13703,Crime
13703,Romance
32054,Drama
32054,War
32054,Family
10587,Comedy
10587,Crime
18125,Comedy
18125,Drama
10021,Comedy
31945,Drama
31945,Crime
31945,Thriller
39074,Drama
39074,Thriller
35841,Drama
35841,Romance
86337,Action
86337,Adventure
86337,Science Fiction
86337,Fantasy
14443,Adventure
14443,Science Fiction
14443,Comedy
14443,Family
27857,Drama
10023,Action
10023,Comedy
10023,Crime
13926,Animation
13926,Family
16889,Comedy
28218,Action
28218,Adventure
28218,Comedy
28218,Fantasy
39507,Drama
13339,Comedy
51442,Horror
24787,Animation
24787,Family
24787,TV Movie
24787,Mystery
24787,Comedy
20287,Western
20287,Action
20287,Thriller
20287,Crime
35463,Action
35463,Comedy
28368,War
28368,Drama
28368,History
10998,Thriller
10998,Drama
42012,Action
34379,Action
34379,Drama
34379,Crime
27462,Action
27462,Adventure
27462,Science Fiction
17238,Drama
11649,Action
11649,Fantasy
11649,Science Fiction
11649,Adventure
11649,Thriller
24341,Fantasy
24341,Horror
4918,Action
4918,Thriller
23599,Action
23599,Crime
499292,Crime
499292,Mystery
499292,TV Movie
106,Science Fiction
106,Action
106,Adventure
106,Thriller
9964,Action
9964,Comedy
9964,Horror
9964,Science Fiction
342381,Music
58473,Drama
58473,TV Movie
48660,Horror
48660,Science Fiction
2614,Action
2614,Comedy
2614,Science Fiction
99749,Drama
99749,Thriller
8852,Horror
10019,Comedy
10019,Romance
10019,Fantasy
12626,Comedy
12626,Romance
12154,Comedy
30478,Horror
28223,Science Fiction
28223,Horror
10780,Comedy
10780,Romance
51521,Comedy
51521,Fantasy
51521,Horror
51521,Romance
24828,Action
24828,Comedy
24828,Science Fiction
11879,Horror
918,Comedy
918,Romance
61178,Romance
61178,Comedy
61178,Crime
61178,Action
42010,Comedy
42010,Drama
42010,Fantasy
42010,Romance
17159,Comedy
86330,Horror
86330,Drama
39929,Horror
39929,Fantasy
39929,Thriller
9003,Horror
9003,Thriller
9003,Fantasy
15582,Comedy
15582,Fantasy
15582,Family
13246,Animation
13246,Family
60041,Crime
60041,Drama
60041,Romance
60041,Thriller
74747,Horror
74747,Science Fiction
16288,Horror
16288,Comedy
47212,Romance
47212,Crime
47212,Drama
22477,Drama
48686,Action
48686,Thriller
48309,Crime
