id,genre
490952,Adventure
490952,Crime
490952,Drama
158715,Western
35017,Crime
225223,Drama
182554,Western
40885,Drama
40885,Romance
33843,Crime
33843,Drama
33843,Thriller
56188,Drama
56188,Adventure
56188,Romance
84794,Crime
84794,Drama
43234,Drama
29238,Horror
29238,Science Fiction
101503,Animation
101503,Comedy
44940,Crime
44940,Drama
44940,Thriller
80255,Drama
80255,Romance
80255,War
43236,Drama
43236,Romance
77965,Crime
77965,Drama
77965,Romance
28285,Drama
116337,Horror
116337,Science Fiction
24468,Crime
24468,Drama
177252,Comedy
162139,Family
162139,Fantasy
162139,Adventure
35001,Western
36521,Crime
36521,Drama
92297,Animation
92297,Comedy
152992,Drama
37373,Drama
37373,Romance
117772,Music
117772,Fantasy
117772,Comedy
117772,TV Movie
68850,Drama
68850,War
389,Drama
43233,Comedy
52470,Comedy
100395,Animation
100395,Comedy
53949,Horror
53949,Science Fiction
205679,Western
208162,Western
66918,Horror
66918,Science Fiction
225153,Drama
43232,Comedy
43232,Music
43232,Romance
274863,Crime
274863,Drama
274863,Music
14168,Western
14168,Drama
14168,Thriller
826,Drama
826,History
826,War
46189,Drama
46189,War
85854,Adventure
85854,Fantasy
85854,Drama
47056,Action
47056,Drama
47056,Thriller
43230,Science Fiction
80521,Drama
80521,Romance
80521,Family
99886,Western
792929,Drama
792929,TV Movie
23102,War
23102,History
23102,Romance
234868,Drama
26278,Science Fiction
26278,Horror
102966,Action
102966,War
102966,Western
110336,Horror
35129,Drama
52367,Comedy
52367,Romance
44459,Drama
44459,Romance
44459,TV Movie
71144,Adventure
71144,Crime
342768,Western
29071,Horror
29071,Fantasy
145691,Western
18535,Drama
18535,Music
18535,Romance
76987,Drama
76987,Romance
169806,Drama
148176,Comedy
148176,Animation
362082,Drama
71768,Western
71768,Action
71768,War
138308,Western
52199,Horror
52199,Science Fiction
52199,Comedy
38432,Drama
43241,Science Fiction
43241,Adventure
43241,Thriller
37311,Romance
37311,Drama
37311,History
258040,Western
178103,Comedy
28973,Comedy
64984,Adventure
64984,Comedy
64984,Romance
414776,Documentary
139361,Comedy
53906,Action
53906,Adventure
53906,Romance
43240,Comedy
43240,Romance
3079,Horror
3079,Science Fiction
185263,Drama
35926,Crime
35926,Drama
73027,Drama
73027,Thriller
73027,Crime
37103,Adventure
37103,War
37103,Drama
380361,Drama
75683,Adventure
75683,Drama
25103,Fantasy
25103,Horror
25103,Mystery
75046,Drama
75046,War
43251,Comedy
125413,Drama
95359,Comedy
95359,Drama
44931,Crime
44931,Drama
155690,Drama
155690,Western
155690,History
30054,Western
43253,Western
67521,Drama
67521,War
43252,Drama
43252,Fantasy
43252,Science Fiction
82181,War
82181,Drama
82181,Thriller
16904,Comedy
108564,History
108564,Drama
37086,Drama
138699,Comedy
138699,Romance
30299,Science Fiction
92189,Drama
92189,History
44134,Comedy
73000,Drama
73000,Thriller
37124,Comedy
37124,Romance
242629,Western
18299,Comedy
18299,Romance
172585,Crime
56309,Comedy
24012,Comedy
24012,Romance
150095,Western
72903,Drama
72903,Crime
98289,Drama
98289,Adventure
142254,Drama
44693,Horror
44693,Science Fiction
65488,Drama
65488,Romance
65488,History
22660,Adventure
22660,Drama
22660,Family
22660,Western
84058,Horror
43715,Horror
43715,Science Fiction
13320,Music
13320,Comedy
13320,Romance
338021,Music
338021,Drama
38006,Adventure
38006,Horror
61370,War
61370,Drama
68340,Comedy
68340,Romance
26946,Science Fiction
26946,Horror
85237,Horror
85237,Science Fiction
85237,Thriller
43716,Adventure
43716,Fantasy
43716,Science Fiction
52196,Horror
52196,Science Fiction
44938,Crime
44938,Drama
44938,Thriller
109441,Comedy
109441,Adventure
109441,Romance
109441,War
153997,Romance
153997,Western
99620,Crime
99620,Mystery
99620,Thriller
246503,Drama
60938,Crime
60938,Thriller
60938,Mystery
60938,Drama
43313,Comedy
24203,Comedy
24203,Romance
37257,Drama
37257,Mystery
37257,Crime
204686,Comedy
204686,Romance
116212,Horror
116212,Science Fiction
25848,Adventure
553787,Drama
553787,Crime
553787,TV Movie
8356,Drama
8356,Romance
43228,Drama
43228,Fantasy
43228,Horror
43228,Science Fiction
31682,Science Fiction
31682,Horror
31682,Fantasy
54797,War
54797,Adventure
54797,Action
15697,Drama
15697,Music
976,Drama
204232,Western
204232,Action
204232,Adventure
38261,Science Fiction
38261,Horror
38260,Horror
150157,Family
150157,Adventure
74917,Crime
74917,Drama
49843,Comedy
40867,Music
40867,Comedy
40867,Romance
46580,Drama
46580,Mystery
46580,War
64735,War
64735,Drama
44591,Horror
44591,Science Fiction
25190,Drama
25190,Romance
43229,Drama
43229,Family
133792,Drama
113697,Western
54541,Drama
54541,Thriller
37596,Adventure
37596,Romance
37596,Drama
975,War
975,Drama
975,History
171164,Comedy
93619,Animation
93619,Comedy
52455,Science Fiction
52455,Horror
18776,Adventure
18776,Drama
18776,History
21849,Drama
53217,Animation
53217,Comedy
53217,Music
25381,Western
102038,Drama
102038,Romance
138373,Western
27623,Science Fiction
27623,Horror
83354,Western
292294,Western
15096,Science Fiction
15096,Horror
83745,Animation
83745,Family
83745,Comedy
36459,Drama
36459,Thriller
36459,Western
115545,Comedy
115545,Crime
176790,Crime
176790,Drama
35185,Comedy
28659,Horror
43239,Comedy
43239,Music
43239,Romance
100348,Animation
100348,Comedy
86777,Action
86777,War
86777,Drama
15876,War
115396,Crime
115396,Drama
22201,Western
33668,Comedy
33668,Romance
36089,Horror
36089,Science Fiction
39557,Western
33734,Music
33734,Romance
33734,Comedy
60387,Comedy
60387,War
14837,Western
